Nomor,Kategori/Kelompok Pemeriksaan,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Example UCUM Units,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO)
763,Mikrobiologi Klinik,Neisseria gonorrhoeae tenggorokan  (Real time PCR) ,Permintaan & Hasil,Tenggorokan,Ordinal ,,PCR,88225-8,Neisseria gonorrhoeae DNA [Presence] in Throat by NAA with probe detection,Neisseria gonorrhoeae DNA,PrThr,Pt,Thrt,Ord,Probe.amp.tar,,http://loinc.org,2.63,2.63,1.0,1.0
764,Mikrobiologi Klinik,Neisseria gonorrhoeae uretra (Real time PCR) ,Permintaan & Hasil,Uretra,Ordinal ,,PCR,21415-5,Neisseria gonorrhoeae DNA [Presence] in Urethra by NAA with probe detection,Neisseria gonorrhoeae DNA,PrThr,Pt,Urethra,Ord,Probe.amp.tar,,http://loinc.org,1.0m,2.73,1.0,1.0
765,Mikrobiologi Klinik,Neisseria gonorrhoeae urin (Real time PCR) ,Permintaan & Hasil,Urine,Ordinal ,,PCR,21416-3,Neisseria gonorrhoeae DNA [Presence] in Urine by NAA with probe detection,Neisseria gonorrhoeae DNA,PrThr,Pt,Urine,Ord,Probe.amp.tar,,http://loinc.org,1.0m,2.73,1.0,1.0
766,Mikrobiologi Klinik,Neisseria meningitidis cairan otak (Real time PCR) ,Permintaan & Hasil,Cairan otak ,Ordinal ,,PCR,99092-9,Neisseria meningitidis DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Neisseria meningitidis DNA,PrThr,Pt,CSF,Ord,Probe.amp.tar,,http://loinc.org,2.72,2.72,1.0,1.0
767,Mikrobiologi Klinik,Neisseria meningitidis darah (Real time PCR) ,Permintaan & Hasil,Darah ,Ordinal ,,PCR,53606-0,Neisseria meningitidis DNA [Presence] in Blood by NAA with probe detection,Neisseria meningitidis DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,2.26,2.73,1.0,1.0
768,Mikrobiologi Klinik,Neisseria meningitidis kultur darah positif (Real time PCR) ,Permintaan & Hasil,Bld.pos growth,Ordinal ,,PCR,93388-7,Neisseria meningitidis DNA [Presence] by NAA with probe detection in Positive blood culture,Neisseria meningitidis DNA,PrThr,Pt,Bld.pos growth,Ord,Probe.amp.tar,,http://loinc.org,2.67,2.67,1.0,1.0
769,Mikrobiologi Klinik,Neisseria meningitidis saluran pernafasan atas (Real time PCR) ,Permintaan & Hasil,Saluran pernafasan atas ,Ordinal ,,PCR,91803-7,Neisseria meningitidis DNA [Presence] in Upper respiratory specimen by NAA with probe detection,Neisseria meningitidis DNA,PrThr,Pt,Respiratory.upper,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.68,1.0,1.0
770,Mikrobiologi Klinik,Neisseria meningitidis spesimen (Real time PCR) ,Permintaan & Hasil,Spesimen ,Ordinal ,,PCR,49671-1,Neisseria meningitidis DNA [Presence] in Specimen by NAA with probe detection,Neisseria meningitidis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,2.22,2.73,1.0,1.0
771,Mikrobiologi Klinik,Resistansi Helicobacter pylori (Real time PCR) ,Permintaan & Hasil,Jaringan ,Ordinal ,,PCR,MK099889,Resistansi Helicobacter pylori (Real-time PCR) ,,,Pt,Jaringan ,Ordinal ,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
772,Mikrobiologi Klinik,Resistansi HIV (Real time PCR) ,Permintaan & Hasil,Darah,Ordinal ,,PCR,MK099890,Resistansi HIV (Real-time PCR) ,,,Pt,Darah,Ordinal ,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
773,Mikrobiologi Klinik,Rubella virus lain-lain (Real time PCR) ,Permintaan & Hasil,Spesimen ,Ordinal ,,PCR,54091-4,Rubella virus RNA [Presence] in Specimen by NAA with probe detection,Rubella virus RNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,2.26,2.73,1.0,1.0
774,Mikrobiologi Klinik,Rubella virus saluran pernafasan atas (Real time PCR) ,Permintaan & Hasil,Saluran pernafasan atas ,Ordinal ,,PCR,91792-2,Rubella virus RNA [Presence] in Upper respiratory specimen by NAA with probe detection,Rubella virus RNA,PrThr,Pt,Respiratory.upper,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.68,1.0,1.0
775,Mikrobiologi Klinik,Rubella virus saluran pernafasan bawah  (Real time PCR) ,Permintaan & Hasil,Saluran pernafasan bawah ,Ordinal ,,PCR,91823-5,Rubella virus RNA [Presence] in Lower respiratory specimen by NAA with probe detection,Rubella virus RNA,PrThr,Pt,Respiratory.lower,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.66,1.0,1.0
776,Mikrobiologi Klinik,Rubella virus serum/ plasma (Real time PCR) ,Permintaan & Hasil,Serum/plasma,Ordinal ,,PCR,60274-8,Rubella virus RNA [Presence] in Serum or Plasma by NAA with probe detection,Rubella virus RNA,PrThr,Pt,Ser/Plas,Ord,Probe.amp.tar,,http://loinc.org,2.34,2.63,1.0,1.0
777,Mikrobiologi Klinik,Rubella virus urin (Real time PCR) ,Permintaan & Hasil,Urine,Ordinal ,,PCR,86589-9,Rubella virus RNA [Presence] in Urine by NAA with probe detection,Rubella virus RNA,PrThr,Pt,Urine,Ord,Probe.amp.tar,,http://loinc.org,2.61,2.63,1.0,1.0
778,Mikrobiologi Klinik,Salmonella enterica ss enterica (Real time PCR) ,Permintaan & Hasil,Spesimen ,Ordinal ,,PCR,61370-3,Salmonella enterica DNA [Presence] in Specimen by NAA with probe detection,Salmonella enterica DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,2.34,2.73,1.0,1.0
779,Mikrobiologi Klinik,Streptococcus pneumoniae cairan otak (Real time PCR) ,Permintaan & Hasil,Cairan otak ,Ordinal ,,PCR,99094-5,Streptococcus pneumoniae DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Streptococcus pneumoniae DNA,PrThr,Pt,CSF,Ord,Probe.amp.tar,,http://loinc.org,2.72,2.72,1.0,1.0
780,Mikrobiologi Klinik,Streptococcus pneumoniae darah (Real time PCR) ,Permintaan & Hasil,Darah ,Ordinal ,,PCR,53917-1,Streptococcus pneumoniae DNA [Presence] in Blood by NAA with probe detection,Streptococcus pneumoniae DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,2.26,2.73,1.0,1.0
781,Mikrobiologi Klinik,Streptococcus pneumoniae spesimen (Real time PCR) ,Permintaan & Hasil,Spesimen ,Ordinal ,,PCR,49672-9,Streptococcus pneumoniae DNA [Presence] in Specimen by NAA with probe detection,Streptococcus pneumoniae DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,2.22,2.73,1.0,1.0
782,Mikrobiologi Klinik,Streptococcus pneumoniae spesimen saluran nafas (Real time PCR) ,Permintaan & Hasil,Saluran pernasafan ,Ordinal ,,PCR,92125-4,Streptococcus pneumoniae DNA [Presence] in Respiratory system specimen by NAA with probe detection,Streptococcus pneumoniae DNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.75,1.0,1.0
783,Mikrobiologi Klinik,Streptococcus pneumoniae spesimen saluran nafas bawah (Real time PCR) ,Permintaan & Hasil,Saluran pernafasan bawah ,Ordinal ,,PCR,94367-0,Streptococcus pneumoniae DNA [Presence] in Lower respiratory specimen by NAA with probe detection,Streptococcus pneumoniae DNA,PrThr,Pt,Respiratory.lower,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.68,1.0,1.0
784,Mikrobiologi Klinik,M. leprae (Real time PCR) ,Permintaan & Hasil,Saluran pernafasan atas ,Ordinal ,,PCR,91805-2,Mycobacterium leprae DNA [Presence] in Upper respiratory specimen by NAA with probe detection,Mycobacterium leprae DNA,PrThr,Pt,Respiratory system specimen.upper,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.77,1.0,1.0
785,Mikrobiologi Klinik,Resistansi M. leprae terhadap dapson ,Permintaan & Hasil,Slit skin ,Ordinal ,,,MK099891,Resistansi M. leprae terhadap dapson ,,,Pt,Slit skin ,Ordinal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
786,Mikrobiologi Klinik,Resistansi M. leprae terhadap ofloksasin ,Permintaan & Hasil,Slit skin ,Ordinal ,,,MK099892,Resistansi M. leprae terhadap ofloksasin ,,,Pt,Slit skin ,Ordinal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
787,Mikrobiologi Klinik,Resistansi M. leprae terhadap rifampisin,Permintaan & Hasil,Slit skin ,Ordinal ,,,MK099893,Resistansi M. leprae terhadap rifampisin,,,Pt,Slit skin ,Ordinal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
788,Mikrobiologi Klinik,Identifikasi patogen (sequencing) ,Permintaan & Hasil,Spesimen ,Nominal ,,Sequencing ,MK099894,Identifikasi patogen (sequencing) ,,,Pt,Spesimen ,Nominal ,Sequencing ,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
789,Mikrobiologi Klinik,Syndromic Testing Panel Blood Culture Identification/ Sepsis,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099896,Syndromic Testing Panel Blood Culture Identification/ Sepsis,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
790,Mikrobiologi Klinik,Syndromic Testing Panel Gastrointestinal Infection ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099897,Syndromic Testing Panel Gastrointestinal Infection ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
791,Mikrobiologi Klinik,Syndromic Testing Panel Joint Infection ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099898,Syndromic Testing Panel Joint Infection ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
792,Mikrobiologi Klinik,Syndromic Testing Panel Lainnya ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099899,Syndromic Testing Panel Lainnya ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
793,Mikrobiologi Klinik,Syndromic Testing Panel Meningitis / Enchephalitis ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099900,Syndromic Testing Panel Meningitis / Enchephalitis ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
794,Mikrobiologi Klinik,Syndromic Testing Panel Pneumonia ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099901,Syndromic Testing Panel Pneumonia ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
795,Mikrobiologi Klinik,Syndromic Testing Panel Respiratory ,Permintaan & Hasil,Spesimen ,Nominal ,,,MK099902,Syndromic Testing Panel Respiratory ,,,Pt,Spesimen ,Nominal ,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
796,Mikrobiologi Klinik,TCM Carba R ,Permintaan & Hasil,Isolat/spesimen ,Ordinal ,,Molekular,95809-0,Carbapenem resistance genes [Presence] by Molecular method,Carbapenem resistance genes,PrThr,Pt,Isolate/Specimen,Ord,Molgen,,http://loinc.org,2.69,2.69,1.0,1.0
797,Mikrobiologi Klinik,TCM COV-2/FLU/RSV Plus,Permintaan ,Spesimen saluran pernafasan,-,,PCR,95941-1,Influenza virus A and B and SARS-CoV-2 (COVID-19) and Respiratory syncytial virus RNA panel - Respiratory system specimen by NAA with probe detection,Influenza virus A & Influenza virus B & SARS coronavirus 2 & Respiratory syncytial virus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,,http://loinc.org,2.69,2.75,1.0,1.0
798,Mikrobiologi Klinik,Influenza virus A RNA (PCR) ,Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,92142-9,Influenza virus A RNA [Presence] in Respiratory system specimen by NAA with probe detection,Influenza virus A RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.75,1.0,1.0
799,Mikrobiologi Klinik,Influenza virus B RNA (PCR),Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,92141-1,Influenza virus B RNA [Presence] in Respiratory system specimen by NAA with probe detection,Influenza virus B RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.75,1.0,1.0
800,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) RNA (PCR),Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
801,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) E gene (PCR),Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,96763-8,SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 E gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.7,2.75,1.0,1.0
802,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene (PCR),Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
803,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) Orf1ab gene (PCR),Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,PCR,MK099903,SARS-CoV-2 (COVID-19) Orf1ab gene [Presence] in Respiratory system specimen by NAA with probe detection,,,Pt,Spesimen saluran pernafasan,Ordinal ,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
804,Mikrobiologi Klinik,Respiratory syncytial virus RNA (PCR),Permintaan & Hasil,Respiratory System Specimen,Ordinal ,,PCR,92131-2,Respiratory syncytial virus RNA [Presence] in Respiratory system specimen by NAA with probe detection,Respiratory syncytial virus RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.75,1.0,1.0
805,Mikrobiologi Klinik,TCM CT/ NG spesimen,Permintaan,Spesimen ,-,,,72828-7,Chlamydia trachomatis and Neisseria gonorrhoeae DNA panel - Specimen ,Chlamydia trachomatis & Neisseria gonorrhoeae DNA panel,-,Pt,XXX,-,,,http://loinc.org,2.42,2.69,1.0,1.0
806,Mikrobiologi Klinik,Chlamydia trachomatis DNA (PCR),Permintaan & Hasil,Spesimen ,Ordinal ,,PCR,21613-5,Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection,Chlamydia trachomatis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,1.0m,2.73,1.0,1.0
807,Mikrobiologi Klinik,Neisseria gonorrhoeae DNA (PCR) ,Permintaan & Hasil,Spesimen,Ordinal ,,PCR,24111-7,Neisseria gonorrhoeae DNA [Presence] in Specimen by NAA with probe detection,Neisseria gonorrhoeae DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,1.0o,2.73,1.0,1.0
808,Mikrobiologi Klinik,TCM CT/ NG orofaring ,Permintaan & Hasil,Orofaring ,Ordinal ,,TCM,MK099904,TCM CT/ NG orofaring ,,,Pt,Orofaring ,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
809,Mikrobiologi Klinik,TCM CT/ NG swab mata,Permintaan & Hasil,Swab mata ,Ordinal ,,TCM,MK099905,TCM CT/ NG swab mata,,,Pt,Swab mata ,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
810,Mikrobiologi Klinik,TCM CT/ NG swab rektal ,Permintaan & Hasil,Swab rektal ,Ordinal ,,TCM,MK099906,TCM CT/ NG swab rektal ,,,Pt,Swab rektal ,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
811,Mikrobiologi Klinik,TCM CT/ NG urethra,Permintaan & Hasil,Uretra ,Ordinal ,,TCM,MK099907,TCM CT/ NG urethra,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
812,Mikrobiologi Klinik,TCM CT/ NG urine,Permintaan & Hasil,Urine,Ordinal ,,TCM,MK099908,TCM CT/ NG urine,,,Pt,Urine,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
813,Mikrobiologi Klinik,TCM CT/ NG vagina,Permintaan & Hasil,Vagina ,Ordinal ,,TCM,MK099909,TCM CT/ NG vagina,,,Pt,Vagina ,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
814,Mikrobiologi Klinik,TCM HBV serum (viral load) ,Permintaan & Hasil,Serum,Quantitative,{Log_copies}/mL,,40459-0,Hepatitis B virus DNA [Log #/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,LnCnc,Pt,Ser,Qn,Probe.amp.sig,{Log_copies}/mL,http://loinc.org,2.15,2.73,1.0,1.0
815,Mikrobiologi Klinik,TCM HBV serum/plasma (viral load) ,Permintaan & Hasil,Serum/plasma,Quantitative,[IU]/mL,,42595-9,Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,Hepatitis B virus DNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.tar,[IU]/mL,http://loinc.org,2.16,2.73,1.0,1.0
816,Mikrobiologi Klinik,TCM HCV serum/plasma (viral load)  ,Permintaan & Hasil,Serum/plasma,Quantitative,[IU]/mL,,29609-5,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe with signal amplification,Hepatitis C virus RNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.sig,[IU]/mL,http://loinc.org,2.03,2.73,1.0,1.0
817,Mikrobiologi Klinik,TCM HCV (viral load) fingerstick ,Permintaan & Hasil,Serum/plasma,Quantitative,[IU]/mL,TCM,MK099910,TCM HCV viral load fingerstick ,,,Pt,Serum/plasma,Quantitative,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
818,Mikrobiologi Klinik,TCM HIV-1 DNA ,Permintaan & Hasil,Darah,Ordinal ,,,9837-6,HIV 1 proviral DNA [Presence] in Blood by Probe with amplification,HIV 1 proviral DNA,PrThr,Pt,Bld,Ord,Probe.amp,,http://loinc.org,1.0i,2.73,1.0,1.0
819,Mikrobiologi Klinik,TCM HIV-1 RNA  ,Permintaan & Hasil,Darah,Ordinal ,,,5017-9,HIV 1 RNA [Presence] in Blood by NAA with probe detection,HIV 1 RNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,1.0,2.73,1.0,1.0
820,Mikrobiologi Klinik,TCM HIV-1 (viral load)  ,Permintaan & Hasil,Plasma,Quantitative,[IU]/mL,,23876-6,HIV 1 RNA [Units/volume] (viral load) in Plasma by Probe with signal amplification,HIV 1 RNA,ACnc,Pt,Plas,Qn,Probe.amp.sig,[IU]/mL,http://loinc.org,1.0n,2.73,1.0,1.0
821,Mikrobiologi Klinik,TCM HIV-1 (viral load)  ,Permintaan & Hasil,Plasma,Quantitative,{log_copies}/mL,,29539-4,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe with signal amplification,HIV 1 RNA,LnCnc,Pt,Plas,Qn,Probe.amp.sig,{log_copies}/mL,http://loinc.org,2.03,2.73,1.0,1.0
822,Mikrobiologi Klinik,TCM HIV-1 (viral load)  ,Permintaan & Hasil,Plasma,Quantitative,{copies}/mL,,59419-2,HIV 1 RNA [#/volume] (viral load) in Plasma by Probe with signal amplification,HIV 1 RNA,NCnc,Pt,Plas,Qn,Probe.amp.sig,{copies}/mL,http://loinc.org,2.32,2.73,1.0,1.0
823,Mikrobiologi Klinik,TCM HIV-1 (viral load)  ,Permintaan & Hasil,Serum/plasma,Quantitative,[IU]/mL,,62469-2,HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,HIV 1 RNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.tar,[IU]/mL,http://loinc.org,2.36,2.73,1.0,1.0
824,Mikrobiologi Klinik,TCM HIV-1 (viral load)  ,Permintaan & Hasil,Serum/plasma,Quantitative,{log_copies}/mL,,29541-0,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,HIV 1 RNA,LnCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,{log_copies}/mL,http://loinc.org,2.03,2.73,1.0,1.0
825,Mikrobiologi Klinik,TCM HPV lain-lain,Permintaan & Hasil,Spesimen,Ordinal ,,,16280-0,Human papilloma virus DNA [Presence] in Specimen by Probe with amplification,Human papilloma virus DNA,PrThr,Pt,XXX,Ord,Probe.amp,,http://loinc.org,1.0l,2.73,1.0,1.0
826,Mikrobiologi Klinik,TCM HPV jaringan,Permintaan & Hasil,Jaringan ,Ordinal ,,,44551-0,Human papilloma virus DNA [Presence] in Tissue by Probe,Human papilloma virus DNA,PrThr,Pt,Tiss,Ord,Probe,,http://loinc.org,2.17,2.73,1.0,1.0
827,Mikrobiologi Klinik,TCM HPV uretra,Permintaan & Hasil,Uretra ,Ordinal ,,,44545-2,Human papilloma virus DNA [Presence] in Urethra by Probe,Human papilloma virus DNA,PrThr,Pt,Urethra,Ord,Probe,,http://loinc.org,2.17,2.63,1.0,1.0
828,Mikrobiologi Klinik,TCM HPV serviks,Permintaan & Hasil,Serviks,Ordinal ,,,44550-2,Human papilloma virus DNA [Presence] in Cervix by Probe,Human papilloma virus DNA,PrThr,Pt,Cvx,Ord,Probe,,http://loinc.org,2.17,2.73,1.0,1.0
829,Mikrobiologi Klinik,TCM MRSA NXG Hidung,Permintaan,Hidung ,-,,,86622-8,MRSA SCCmec and mecA+mecC genes panel - Nose ,Staphylococcus aureus methicillin resistance SCCmec & mecA+mecC genes panel,-,Pt,Nose,-,,,http://loinc.org,2.61,2.65,1.0,1.0
830,Mikrobiologi Klinik,TCM MRSA NXG Hidung,Permintaan & Hasil,Hidung ,Ordinal ,,,86620-2,Methicillin resistance mecA+mecC genes [Presence] in Nose by NAA with probe detection,Bacterial methicillin resistance mecA+mecC genes,PrThr,Pt,Nose,Ord,Probe.amp.tar,,http://loinc.org,2.61,2.64,1.0,1.0
831,Mikrobiologi Klinik,TCM MRSA NXG Ketiak ,Permintaan & Hasil,Ketiak,Ordinal ,,TCM,MK099911,TCM MRSA NXG Ketiak ,,,Pt,Ketiak,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
832,Mikrobiologi Klinik,TCM MRSA NXG lain-lain,Permintaan & Hasil,Lain-lain,Ordinal ,,TCM,MK099912,TCM MRSA NXG lain-lain,,,Pt,Lain-lain,Ordinal ,TCM,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
833,Mikrobiologi Klinik,TCM MRSA/SA SSTI,Permintaan & Hasil,Isolat/spesimen ,Nominal ,,,94512-1,Staphylococcus aureus and Methicillin Resistant Staphylococcus aureus identified in Isolate or Specimen by Molecular genetics method,Staphylococcus aureus & Staphylococcus aureus.methicillin resistant identified,Prid,Pt,Isolate/Specimen,Nom,Molgen,,http://loinc.org,2.68,2.7,1.0,1.0
834,Mikrobiologi Klinik,Kultur MRSA/SA SSTI,Permintaan & Hasil,Spesimen ,Ordinal ,,,13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,PrThr,Pt,XXX,Ord,Organism specific culture,,http://loinc.org,1.0j-a,2.73,1.0,1.0
835,Mikrobiologi Klinik,TCM SARS-COV-2,Permintaan ,Spesimen saluran pernafasan,-,,,96094-8,SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Respiratory system specimen by NAA with probe detection ,SARS coronavirus 2 & SARS-related coronavirus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,,http://loinc.org,2.69,2.75,1.0,1.0
836,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) E gene,Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,,96763-8,SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 E gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.7,2.75,1.0,1.0
837,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) E gene [Cycle Threshold],Permintaan & Hasil,Spesimen saluran pernafasan,Quantitative,{Ct_value},,96764-6,SARS-CoV-2 (COVID-19) E gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 E gene,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.7,2.75,1.0,1.0
838,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene,Hasil ,Spesimen saluran pernafasan,Ordinal ,,,94757-2,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N2,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N2,,http://loinc.org,2.68,2.75,1.0,1.0
839,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene ,Hasil ,Spesimen saluran pernafasan,Ordinal ,,,94756-4,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N1,,http://loinc.org,2.68,2.75,1.0,1.0
840,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene,Permintaan & Hasil,Spesimen saluran pernafasan,Ordinal ,,,94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
841,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene (viral load) ,Hasil ,Spesimen saluran pernafasan,Quantitative,{Log_copies}/mL,,95522-9,SARS-CoV-2 (COVID-19) N gene [Log #/volume] (viral load) in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 N gene,LnCnc,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Log_copies}/mL,http://loinc.org,2.69,2.75,1.0,1.0
842,Mikrobiologi Klinik,SARS-CoV-2 (COVID-19) N gene (viral load) ,Permintaan & Hasil,Spesimen saluran pernafasan,Quantitative,{copies}/mL,,95521-1,SARS-CoV-2 (COVID-19) N gene [#/volume] (viral load) in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 N gene,NCnc,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{copies}/mL,http://loinc.org,2.69,2.75,1.0,1.0
