Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
287,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi substansi lemak jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099682,Histokimia deteksi substansi lemak jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
288,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi substansi lemak jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099683,Histokimia deteksi substansi lemak jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
289,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi substansi lemak jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099684,"Histokimia deteksi substansi lemak jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
290,Histokimia ,Jaringan respiratori ,Histokimia deteksi substansi lemak jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099685,Histokimia deteksi substansi lemak jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
291,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi substansi lemak jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099686,Histokimia deteksi substansi lemak jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
292,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi substansi lemak jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099687,Histokimia deteksi substansi lemak jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
293,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi substansi lemak jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099688,Histokimia deteksi substansi lemak jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
294,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi substansi lemak jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099689,Histokimia deteksi substansi lemak jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
295,Histokimia ,Jaringan kulit ,Histokimia deteksi substansi lemak jaringan kulit ,Permintaan & Hasil,Naratif ,PA099690,Histokimia deteksi substansi lemak jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
296,Histokimia ,Jaringan payudara ,Histokimia deteksi substansi lemak jaringan payudara ,Permintaan & Hasil,Naratif ,PA099691,Histokimia deteksi substansi lemak jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
297,Histokimia ,Jaringan endokrin ,Histokimia deteksi substansi lemak jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099692,Histokimia deteksi substansi lemak jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
298,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi substansi lemak jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099693,Histokimia deteksi substansi lemak jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
299,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi substansi lemak jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099694,Histokimia deteksi substansi lemak jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
300,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi substansi lemak jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099695,Histokimia deteksi substansi lemak jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
301,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi substansi lemak jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099696,Histokimia deteksi substansi lemak jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
302,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi substansi lemak jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099697,Histokimia deteksi substansi lemak jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
303,Histokimia ,Jaringan lainnya ,Histokimia deteksi substansi lemak jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099698,Histokimia deteksi substansi lemak jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
304,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi substansi pigmen jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099699,Histokimia deteksi substansi pigmen jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
305,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi substansi pigmen jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099700,Histokimia deteksi substansi pigmen jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
306,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi substansi pigmen  jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099701,"Histokimia deteksi substansi pigmen  jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
307,Histokimia ,Jaringan respiratori ,Histokimia deteksi substansi pigmen  jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099702,Histokimia deteksi substansi pigmen  jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
308,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi substansi pigmen jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099703,Histokimia deteksi substansi pigmen jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
309,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi substansi pigmen jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099704,Histokimia deteksi substansi pigmen jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
310,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi substansi pigmen jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099705,Histokimia deteksi substansi pigmen jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
311,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi substansi pigmen jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099706,Histokimia deteksi substansi pigmen jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
312,Histokimia ,Jaringan kulit ,Histokimia deteksi substansi pigmen jaringan kulit ,Permintaan & Hasil,Naratif ,PA099707,Histokimia deteksi substansi pigmen jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
313,Histokimia ,Jaringan payudara ,Histokimia deteksi substansi pigmen jaringan payudara ,Permintaan & Hasil,Naratif ,PA099708,Histokimia deteksi substansi pigmen jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
314,Histokimia ,Jaringan endokrin ,Histokimia deteksi substansi pigmen jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099709,Histokimia deteksi substansi pigmen jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
315,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi substansi pigmen jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099710,Histokimia deteksi substansi pigmen jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
316,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi substansi pigmen jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099711,Histokimia deteksi substansi pigmen jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
317,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi substansi pigmen jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099712,Histokimia deteksi substansi pigmen jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
318,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi substansi pigmen jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099713,Histokimia deteksi substansi pigmen jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
319,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi substansi pigmen jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099714,Histokimia deteksi substansi pigmen jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
320,Histokimia ,Jaringan lainnya,Histokimia deteksi substansi pigmen jaringan lainnya,Permintaan & Hasil,Naratif ,PA099715,Histokimia deteksi substansi pigmen jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
321,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi substansi enzim jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099716,Histokimia deteksi substansi enzim jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
322,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi substansi enzim jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099717,Histokimia deteksi substansi enzim jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
323,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi substansi enzim jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099718,"Histokimia deteksi substansi enzim jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
324,Histokimia ,Jaringan respiratori ,Histokimia deteksi substansi enzim jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099719,Histokimia deteksi substansi enzim jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
325,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi substansi enzim jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099720,Histokimia deteksi substansi enzim jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
326,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi substansi enzim jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099721,Histokimia deteksi substansi enzim jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
327,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi substansi enzim jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099722,Histokimia deteksi substansi enzim jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
328,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi substansi enzim jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099723,Histokimia deteksi substansi enzim jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
329,Histokimia ,Jaringan kulit ,Histokimia deteksi substansi enzim jaringan kulit ,Permintaan & Hasil,Naratif ,PA099724,Histokimia deteksi substansi enzim jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
330,Histokimia ,Jaringan payudara ,Histokimia deteksi substansi enzim jaringan payudara ,Permintaan & Hasil,Naratif ,PA099725,Histokimia deteksi substansi enzim jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
331,Histokimia ,Jaringan endokrin ,Histokimia deteksi substansi enzim jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099726,Histokimia deteksi substansi enzim jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
332,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi substansi enzim jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099727,Histokimia deteksi substansi enzim jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
333,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi substansi enzim jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099728,Histokimia deteksi substansi enzim jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
334,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi substansi enzim jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099729,Histokimia deteksi substansi enzim jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
335,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi substansi enzim jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099730,Histokimia deteksi substansi enzim jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
336,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi substansi enzim jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099731,Histokimia deteksi substansi enzim jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
337,Histokimia ,Jaringan lainnya,Histokimia deteksi substansi enzim jaringan lainnya,Permintaan & Hasil,Naratif ,PA099732,Histokimia deteksi substansi enzim jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
338,Immunohistokima ,Jaringan payudara ,"Immunohistokimia panel jaringan payudara ER, PR, HER2, Ki-67",Permintaan & Hasil,Naratif ,PA099733,"Immunohistokimia panel jaringan payudara ER, PR, HER2, Ki-67",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
339,Immunohistokima ,Jaringan payudara ,Immunohistokimia  1 antibodi ,Permintaan & Hasil,Naratif ,PA099734,Immunohistokimia  1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
340,Immunohistokima ,Jaringan payudara ,Immunohistokimia lebih dari 1 antibodi ,Permintaan & Hasil,Naratif ,PA099735,Immunohistokimia lebih dari 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
341,Immunohistokima ,Jaringan hematopoetic ,Immunohistokimia panel limfoma hodgkin,Permintaan & Hasil,Naratif ,PA099736,Immunohistokimia panel limfoma hodgkin,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
342,Immunohistokima ,Jaringan hematopoetic ,Immunohistokimia panel limfoma non-hodgkin,Permintaan & Hasil,Naratif ,PA099737,Immunohistokimia panel limfoma non-hodgkin,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
343,Immunohistokima ,Jaringan hematopoetic ,Immunohistokimia jaringan hematopoetic 1 antibodi ,Permintaan & Hasil,Naratif ,PA099738,Immunohistokimia jaringan hematopoetic 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
344,Immunohistokima ,Jaringan hematopoetic ,Immunohistokimia jaringan hematopoetic lebih dari 1 antibodi ,Permintaan & Hasil,Naratif ,PA099739,Immunohistokimia jaringan hematopoetic lebih dari 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
345,Immunohistokima ,Jaringan mata dan adneksa ,Immunohistokimia jaringan mata dan adneksa  1 antibodi ,Permintaan & Hasil,Naratif ,PA099740,Immunohistokimia jaringan mata dan adneksa  1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
346,Immunohistokima ,Jaringan mata dan adneksa ,Immunohistokimia jaringan mata dan adneksa lebih dari 1 antibodi ,Permintaan & Hasil,Naratif ,PA099741,Immunohistokimia jaringan mata dan adneksa lebih dari 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
347,Immunohistokima ,"Jaringan telinga, hidung, mulut ","Immunohistokimia   jaringan telinga, hidung, mulut 1 antibodi",Permintaan & Hasil,Naratif ,PA099742,"Immunohistokimia   jaringan telinga, hidung, mulut 1 antibodi",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
348,Immunohistokima ,"Jaringan telinga, hidung, mulut ","Immunohistokimia   jaringan telinga, hidung, mulut lebih dari 1 antibodi",Permintaan & Hasil,Naratif ,PA099743,"Immunohistokimia   jaringan telinga, hidung, mulut lebih dari 1 antibodi",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
349,Immunohistokima ,Jaringan respiratori ,Immunohistokima jaringan respiratori 1 antibodi,Permintaan & Hasil,Naratif ,PA099744,Immunohistokima jaringan respiratori 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
350,Immunohistokima ,Jaringan respiratori ,jImmunohistokima jaringan respiratori lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099745,jImmunohistokima jaringan respiratori lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
351,Immunohistokima ,Jaringan kardiovaskular ,Immunohistokima jaringan kardiovaskular 1 antibodi,Permintaan & Hasil,Naratif ,PA099746,Immunohistokima jaringan kardiovaskular 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
352,Immunohistokima ,Jaringan kardiovaskular ,Immunohistokima jaringan kardiovaskular lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099747,Immunohistokima jaringan kardiovaskular lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
353,Immunohistokima ,Jaringan gastrointestinal ,Immunohistokima jaringan gastrointestinal 1 antibodi,Permintaan & Hasil,Naratif ,PA099748,Immunohistokima jaringan gastrointestinal 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
354,Immunohistokima ,Jaringan gastrointestinal ,Immunohistokima jaringan gastrointestinal lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099749,Immunohistokima jaringan gastrointestinal lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
355,Immunohistokima ,Jaringan hepatobilier dan pankreas ,Immunohistokima jaringan hepatobilier dan pankreas 1 antibodi,Permintaan & Hasil,Naratif ,PA099750,Immunohistokima jaringan hepatobilier dan pankreas 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
356,Immunohistokima ,Jaringan hepatobilier dan pankreas ,Immunohistokima jaringan hepatobilier dan pankreas lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099751,Immunohistokima jaringan hepatobilier dan pankreas lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
357,Immunohistokima ,Jaringan muskuloskeletal ,Immunohistokima jaringan muskuloskeletal 1 antibodi,Permintaan & Hasil,Naratif ,PA099752,Immunohistokima jaringan muskuloskeletal 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
358,Immunohistokima ,Jaringan muskuloskeletal ,Immunohistokima jaringan muskuloskeletal lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099753,Immunohistokima jaringan muskuloskeletal lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
359,Immunohistokima ,Jaringan kulit ,Immunohistokima jaringan kulit 1 antibodi,Permintaan & Hasil,Naratif ,PA099754,Immunohistokima jaringan kulit 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
360,Immunohistokima ,Jaringan kulit ,Immunohistokima jaringan kulit lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099755,Immunohistokima jaringan kulit lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
361,Immunohistokima ,Jaringan payudara ,Immunohistokima jaringan payudara 1 antibodi,Permintaan & Hasil,Naratif ,PA099756,Immunohistokima jaringan payudara 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
362,Immunohistokima ,Jaringan payudara ,Immunohistokima jaringan payudara lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099757,Immunohistokima jaringan payudara lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
363,Immunohistokima ,Jaringan endokrin ,Immunohistokima jaringan endokrin 1 antibodi,Permintaan & Hasil,Naratif ,PA099758,Immunohistokima jaringan endokrin 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
364,Immunohistokima ,Jaringan endokrin ,Immunohistokima jaringan endokrin lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099759,Immunohistokima jaringan endokrin lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
365,Immunohistokima ,Jaringan nefrourinaria ,Immunohistokima jaringan nefrourinaria 1 antibodi,Permintaan & Hasil,Naratif ,PA099760,Immunohistokima jaringan nefrourinaria 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
366,Immunohistokima ,Jaringan nefrourinaria ,Immunohistokima jaringan nefrourinaria lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099761,Immunohistokima jaringan nefrourinaria lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
367,Immunohistokima ,Jaringan genitalia pria ,Immunohistokima jaringan genitalia pria 1 antibodi,Permintaan & Hasil,Naratif ,PA099762,Immunohistokima jaringan genitalia pria 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
368,Immunohistokima ,Jaringan genitalia pria ,Immunohistokima jaringan genitalia pria lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099763,Immunohistokima jaringan genitalia pria lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
369,Immunohistokima ,Jaringan genitalia wanita ,Immunohistokima jaringan genitalia wanita 1 antibodi,Permintaan & Hasil,Naratif ,PA099764,Immunohistokima jaringan genitalia wanita 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
370,Immunohistokima ,Jaringan genitalia wanita ,Immunohistokima jaringan genitalia wanita lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099765,Immunohistokima jaringan genitalia wanita lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
371,Immunohistokima ,Jaringan retikuloendotelial,Immunohistokima jaringan retikuloendotelial 1 antibodi,Permintaan & Hasil,Naratif ,PA099766,Immunohistokima jaringan retikuloendotelial 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
372,Immunohistokima ,Jaringan retikuloendotelial,Immunohistokima jaringan retikuloendotelial lebih dari 1 antibodi,Permintaan & Hasil,Naratif ,PA099767,Immunohistokima jaringan retikuloendotelial lebih dari 1 antibodi,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
373,Immunohistokima ,Jaringan lainnya ,Immunohistokimia jaringan lainnya 1 antibodi ,Permintaan & Hasil,Naratif ,PA099768,Immunohistokimia jaringan lainnya 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
374,Immunohistokima ,Jaringan lainnya ,Immunohistokimia jaringan lainnya lebih dari 1 antibodi ,Permintaan & Hasil,Naratif ,PA099769,Immunohistokimia jaringan lainnya lebih dari 1 antibodi ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
375,Immunofloresence,Jaringan kulit ,Immunofloresence jaringan kulit ,Permintaan & Hasil,Naratif ,PA099770,Immunofloresence jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
376,Immunofloresence,Jaringan neforurinaria ,Immunofloresence neforurinaria ,Permintaan & Hasil,Naratif ,PA099771,Immunofloresence neforurinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
377,Immunofloresence,Jaringan lainnya ,Immunofloresence jaringan lainnya,Permintaan & Hasil,Naratif ,PA099772,Immunofloresence jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
378,Patologi Molekuler ,Jaringan genitalia wanita ,HPV genotyping high risk jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099773,HPV genotyping high risk jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
379,Patologi Molekuler ,Jaringan lainnya ,HPV genotyping high risk jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099774,HPV genotyping high risk jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
380,Patologi Molekuler ,Jaringan genitalia wanita ,Pemeriksaan HPV genotyping 33 subtipe jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099775,Pemeriksaan HPV genotyping 33 subtipe jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
